Percent of Students Chronically Absent,Percent HRA Eligible,Student Percent - Black and Hispanic,Percent Students with IEPs,log_dropout_rate,log_temp_housing,log_percent_overage,Economic Need Index,Percent English Language Learners,Average Grade 8 Proficiency,Percent College Ready based on SAT Math,Metric Value - College Persistence,Supportive Environment - Element Score,Graduation Rate,Metric Value - Average Regents Score - English,Metric Value - College and Career Preparatory Course Index,Took_ACT,Rigorous Instruction - Element Score,Percentage of Students Enrolled in Any Advanced Course,log_enrollment
0.552,0.807,0.766,0.253,0.03246719013750141,0.15443635330441896,0.04018178963283176,0.866,0.063,2.715,0.136,0.422,3.67,0.939,0.0075099999999999,0.318,0.0,3.55,0.223,5.598421958998375
0.376,0.744,0.625,0.21,0.028587456851912472,0.1115413747329073,0.028587456851912472,0.814,0.118,3.05,0.225,0.694,4.24,0.984,0.00733,0.883,0.0,4.42,0.652,6.1862086239004945
0.19,0.445,0.684,0.29,0.0,0.12575120530556025,0.002995508979798371,0.638,0.013,3.01,0.37,0.705,4.3,0.9765,0.0080799999999999,1.0,1.0,4.44,0.65,5.966146739123692
0.185,0.356,0.249,0.185,0.006975613736425138,0.015873349156290163,0.004987541511038968,0.429,0.005,3.755,0.834,0.707,4.28,0.9935,0.00912,0.995,1.0,3.96,0.894,6.431331081933479
0.257,0.388,0.391,0.147,0.0,0.04305948946044701,0.003992021269537457,0.482,0.005,3.84,0.762,0.886,3.96,0.987,0.0083299999999999,1.0,1.0,4.46,0.982,6.338594078203183
0.623,0.759,0.94,0.266,0.0,0.13190507087993858,0.014888612493750559,0.83,0.04,2.66,0.048,0.645,3.69,0.9595,0.0072099999999999,0.968,0.0,3.88,0.603,5.298317366548036
0.536,0.773,0.91,0.22,0.03198304585305074,0.1310282624064042,0.045928931888399735,0.836,0.063,2.69,0.06,0.455,3.28,0.9435,0.0070599999999999,0.46,0.0,3.72,0.377,5.707110264748875
0.577,0.788,0.927,0.28,0.10885440491208206,0.11778303565638346,0.050693114315518165,0.855,0.049,2.5650000000000004,0.033,0.333,3.99,0.86,0.00623,0.883,0.0,3.56,0.478,5.910796644040528
0.297,0.163,0.1629999999999999,0.177,0.0,0.01980262729617973,0.001998002662673058,0.227,0.008,3.765,0.7,0.782,3.98,0.996,0.00871,0.908,0.0,4.22,0.744,6.22455842927536
0.495,0.755,0.8240000000000001,0.191,0.017839918128331016,0.126632650933366,0.035367143837291344,0.831,0.038,2.88,0.175,0.643,3.5770989010989007,0.959,0.00745,0.835,0.0,3.26,0.658,5.973809611869261
0.421,0.661,0.772,0.234,0.04018178963283176,0.10975086395911929,0.024692612590371414,0.737,0.048,2.9,0.213,0.588,3.53,0.947,0.00732,0.951,0.0,3.14,0.632,6.26530121273771
0.43,0.731,0.914,0.255,0.02955880224154443,0.11955923505763925,0.04305948946044701,0.804,0.044,2.735,0.091,0.383,2.98,0.881,0.00718,0.841,0.0,2.8,0.75,6.070737728002491
0.482,0.541,0.669,0.275,0.025180298530298326,0.06578774053800315,0.03343477608623742,0.619,0.02,2.77,0.133,0.66,3.92,0.9695,0.00796,0.933,0.0,4.4,0.479,5.869296913133774
0.739,0.852,0.933,0.224,0.09735354525590992,0.12486898204586927,0.06485097231961626,0.884,0.086,2.56,0.018,0.349,3.27,0.8195,0.00793,0.228,0.0,2.39,0.348,5.351858133476067
0.627,0.685,0.806,0.204,0.04974209189481401,0.08342160813907237,0.02273948696948934,0.778,0.055,2.775,0.158,0.54,3.57,0.859,0.00769,0.748,1.0,3.8,0.67,6.274762021241939
0.537,0.747,0.915,0.267,0.10255658832509215,0.15614868248993138,0.051643233151838386,0.813,0.053,2.65,0.082,0.351,3.62,0.8069999999999999,0.0077,0.525,0.0,2.76,0.604,5.420534999272286
0.646,0.828,0.949,0.291,0.03246719013750141,0.13889199886661863,0.06297479916138839,0.884,0.1,2.415,0.0,0.313,3.64,0.8685,0.00659,0.584,0.0,3.96,0.68,5.736572297479191
0.563,0.814,0.869,0.19,0.006975613736425138,0.14149956227369942,0.04018178963283176,0.863,0.048,2.715,0.07,0.533,3.88,0.892,0.0072299999999999,0.401,0.0,3.67,0.621,5.673323267171493
0.616,0.794,0.8859999999999999,0.282,0.11198850194804728,0.1527210870176639,0.06109509935981083,0.872,0.06,2.53,0.034,0.276,3.39,0.8465,0.00703,0.851,0.0,3.52,0.566,5.758901773877281
0.728,0.783,0.8919999999999999,0.193,0.044973365642731196,0.13540463700620298,0.09166718852582388,0.844,0.12,2.665,0.037,0.514,3.7,0.867,0.00734,0.241,0.0,3.09,0.687,4.430816798843313
0.531,0.659,0.827,0.171,0.02078253918252841,0.11511280710050446,0.03246719013750141,0.739,0.026,2.95,0.133,0.568,3.09,0.9665,0.00739,0.99,1.0,3.04,0.64,6.2324480165505225
0.263,0.454,0.506,0.248,0.007968169649176881,0.04305948946044701,0.003992021269537457,0.528,0.024,3.44,0.509,0.802,4.31,0.9865,0.00857,0.709,1.0,4.41,0.785,6.115892125483034
0.509,0.829,0.903,0.231,0.06625579577706506,0.12575120530556025,0.04879016416943205,0.88,0.089,2.705,0.071,0.447,4.1,0.9305,0.00745,0.393,0.0,4.88,0.365,5.945420608606575
0.675,0.825,0.947,0.253,0.03729578474369693,0.1629688282781397,0.04688358589885046,0.883,0.101,2.38,0.07,0.337,3.13,0.8985000000000001,0.00707,0.907,0.0,3.5,0.647,6.075346031088684
0.646,0.722,0.821,0.212,0.0358496528936972,0.11867152971749854,0.0944006754214843,0.81,0.079,2.755,0.092,0.477,3.2,0.832,0.0073,0.323,0.0,2.51,0.603,5.0238805208462765
0.439,0.659,0.7,0.17,0.008959741371471801,0.08065790301745454,0.01980262729617973,0.725,0.049,3.0250000000000004,0.192,0.583,3.3,0.9155,0.0078599999999999,0.713,1.0,3.73,0.617,6.98100574072173
0.237,0.271,0.436,0.246,0.0,0.028587456851912472,0.017839918128331016,0.372,0.011,2.81,0.242,0.74,4.16,0.9775,0.00834,0.439,1.0,4.44,0.8,5.638354669333745
