DBN,School Name,Enrollment,Percent Female,Percent Male,Percent Neither Female nor Male,Percent English Language Learners,Percent Students with IEPs,Economic Need Index,Percent Overage / Undercredited,Percent in Temp Housing,Percent HRA Eligible,Teacher Percent - White,Nearby Student Distance (mi),Percentage of Students Enrolled in an AP Course,Percentage of Students Enrolled in an Advanced Math or Science Course,Percentage of Students Enrolled in a College Credited Course,Percentage of Students Enrolled in Any Advanced Course,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Percent of Students Chronically Absent,Teacher Attendance Rate,Metric Value - Average Regents Score - English,Metric Value - College and Career Preparatory Course Index,Metric Value - College Persistence,Rigorous Instruction - Element Score,Collaborative Teachers - Element Score,Supportive Environment - Element Score,Effective School Leadership - Element Score,Strong Family-Community Ties - Element Score,Trust - Element Score,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,zip code,Percent No High School (25+),Percent Bachelor's Degree or Higher (25+),Percent Language Other Than English at Home,Percent Population with Disabilities,Percent Foreign-Born Population,Percent Households with Broadband Internet,Median Household Income,Percent Households on SNAP/Food Stamps,dropout_rate,Graduation Rate,Student Percent - Black and Hispanic,Student Percent - Other,District,Borough,Percent College Ready based on SAT Math,Average Grade 8 Proficiency,CLEP_enrolled,IB_enrolled,NYCPS_college_prep_enrolled,Took_ACT
01M292,orchard collegiate academy,269.0,0.468,0.532,0.0,0.063,0.253,0.866,0.041,0.167,0.807,0.48,1.0,0.182,0.145,0.0,0.223,8.1,0.8,0.552,0.969,75.1,0.318,0.422,3.55,4.09,3.67,3.64,2.76,3.79,84.0,80.0,27.0,10002.0,16.2,38.1,53.0,13.0,38.1,76.1,43362.0,34.0,3.3,0.9390000000000001,0.766,0.227,01,Manhattan,0.136,2.715,0.0,0.0,0.0,0.0
01M448,university neighborhood high school,485.0,0.487,0.513,0.0,0.118,0.21,0.814,0.029,0.118,0.744,0.513,5.2,0.53,0.458,0.33,0.652,4.9,0.692,0.376,0.971,73.3,0.883,0.694,4.42,4.64,4.24,4.49,3.66,4.5,82.0,95.0,38.0,10002.0,16.2,38.1,53.0,13.0,38.1,76.1,43362.0,34.0,2.9,0.984,0.625,0.371,01,Manhattan,0.225,3.05,0.0,0.0,0.0,0.0
01M450,east side community school,389.0,0.458,0.542,0.0,0.013,0.29,0.638,0.003,0.134,0.445,0.4,1.2,0.129,0.476,0.044,0.65,22.1,0.8,0.19,0.952,80.8,1.0,0.705,4.44,4.59,4.3,4.38,4.11,4.42,83.0,85.0,54.0,10009.0,7.0,62.3,34.6,14.0,24.3,85.3,83344.0,18.0,0.0,0.9764999999999999,0.684,0.28300000000000003,01,Manhattan,0.37,3.01,0.0,0.0,1.0,1.0
01M539,"new explorations into science, technology and math high school",620.0,0.508,0.492,0.0,0.005,0.185,0.429,0.005,0.016,0.356,0.649,3.9,0.727,0.529,0.0,0.894,3.2,0.876,0.185,0.953,91.2,0.995,0.707,3.96,3.69,4.28,4.2,4.2,4.16,75.0,75.0,41.0,10002.0,16.2,38.1,53.0,13.0,38.1,76.1,43362.0,34.0,0.7,0.9935,0.249,0.7050000000000001,01,Manhattan,0.834,3.755,0.0,0.0,0.0,1.0
01M696,bard high school early college,565.0,0.577,0.423,0.0,0.005,0.147,0.482,0.004,0.044,0.388,0.512,5.0,0.0,0.494,0.529,0.982,0.2,0.861,0.257,0.953,83.3,1.0,0.886,4.46,2.82,3.96,3.77,3.77,3.92,77.0,43.0,39.0,10002.0,16.2,38.1,53.0,13.0,38.1,76.1,43362.0,34.0,0.0,0.987,0.391,0.57,01,Manhattan,0.762,3.84,0.0,0.0,0.0,1.0
02M047,47 the american sign language and english secondary school,199.0,0.613,0.387,0.0,0.04,0.266,0.83,0.015,0.141,0.759,0.686,6.3,0.452,0.347,0.0,0.603,15.2,0.486,0.623,0.972,72.1,0.968,0.645,3.88,4.02,3.69,2.74,4.33,3.33,90.0,47.0,14.0,10010.0,1.0,80.4,23.3,6.6,21.4,93.4,150288.0,5.9,0.0,0.9595,0.9400000000000001,0.05500000000000001,02,Manhattan,0.048,2.66,0.0,0.0,0.0,0.0
02M135,the urban assembly school for emergency management,300.0,0.633,0.367,0.0,0.063,0.22,0.836,0.047,0.14,0.773,0.48,7.1,0.22,0.187,0.197,0.377,2.1,0.64,0.536,0.974,70.6,0.46,0.455,3.72,3.06,3.28,2.82,3.21,2.98,89.0,85.0,31.0,10038.0,9.9,60.8,37.6,9.0,26.5,87.2,99641.0,17.6,3.25,0.9435,0.91,0.081,02,Manhattan,0.06,2.69,0.0,0.0,0.0,0.0
02M139,stephen t. mather building arts & craftsmanship high school,368.0,0.47,0.527,0.003,0.049,0.28,0.855,0.052,0.125,0.788,0.543,5.6,0.236,0.304,0.0,0.478,2.5,0.714,0.577,0.967,62.3,0.883,0.333,3.56,4.25,3.99,4.65,3.7,4.07,76.0,100.0,33.0,10019.0,1.6,76.8,33.5,13.1,33.1,90.6,113335.0,9.5,11.5,0.86,0.927,0.07,02,Manhattan,0.033,2.5650000000000004,0.0,0.0,0.0,0.0
02M260,the clinton school,504.0,0.653,0.347,0.0,0.008,0.177,0.227,0.002,0.02,0.163,0.643,1.9,0.0,0.252,0.0,0.744,12.1,0.893,0.297,0.961,87.1,0.908,0.782,4.22,2.94,3.98,3.37,2.48,2.96,52.0,62.0,39.0,10003.0,2.7,82.0,21.9,6.7,19.3,94.0,152863.0,3.6,0.0,0.996,0.16299999999999998,0.69,02,Manhattan,0.7,3.765,0.0,1.0,0.0,0.0
02M280,manhattan early college school for advertising,392.0,0.543,0.457,0.0,0.038,0.191,0.831,0.036,0.135,0.755,0.579,6.8,0.224,0.416,0.492,0.658,5.2,0.711,0.495,0.969,74.5,0.835,0.643,3.26,3.42,3.5770989010989007,2.82,3.442935982339956,3.45,6.0,45.0,13.0,10038.0,9.9,60.8,37.6,9.0,26.5,87.2,99641.0,17.6,1.8,0.959,0.8240000000000001,0.158,02,Manhattan,0.175,2.88,0.0,0.0,0.0,0.0
