,DBN,School Name,Percent Female,Percent Male,Percent Neither Female nor Male,Percent English Language Learners,Percent Students with IEPs,Economic Need Index,Percent HRA Eligible,Teacher Percent - White,Percentage of Students Enrolled in an AP Course,Percentage of Students Enrolled in an Advanced Math or Science Course,Percentage of Students Enrolled in a College Credited Course,Percentage of Students Enrolled in Any Advanced Course,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Percent of Students Chronically Absent,Teacher Attendance Rate,Metric Value - Average Regents Score - English,Metric Value - College and Career Preparatory Course Index,Metric Value - College Persistence,Rigorous Instruction - Element Score,Collaborative Teachers - Element Score,Supportive Environment - Element Score,Effective School Leadership - Element Score,Strong Family-Community Ties - Element Score,Trust - Element Score,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,zip code,Percent No High School (25+),Percent Bachelor's Degree or Higher (25+),Percent Language Other Than English at Home,Percent Population with Disabilities,Percent Foreign-Born Population,Percent Households with Broadband Internet,Percent Households on SNAP/Food Stamps,Graduation Rate,Student Percent - Black and Hispanic,Student Percent - Other,District,Borough,Percent College Ready based on SAT Math,Average Grade 8 Proficiency,CLEP_enrolled,IB_enrolled,NYCPS_college_prep_enrolled,Took_ACT,college_persistence_ranking,log_dropout_rate,log_temp_housing,log_percent_overage,log_enrollment,log_nearby_student_distance,log_household_income
0,01M292,orchard collegiate academy,0.468,0.532,0.0,0.063,0.253,0.866,0.807,0.48,0.182,0.145,0.0,0.223,8.1,0.8,0.552,0.969,0.0075099999999999,0.318,0.422,3.55,4.09,3.67,3.64,2.76,3.79,0.84,0.8,0.27,10002.0,0.162,0.381,0.53,0.13,0.381,0.7609999999999999,0.34,0.939,0.766,0.227,1,Manhattan,0.136,2.715,0.0,0.0,0.0,0.0,Medium,0.03246719013750141,0.15443635330441896,0.04018178963283176,5.598421958998375,0.6931471805599453,10.677361821912017
1,01M448,university neighborhood high school,0.487,0.513,0.0,0.118,0.21,0.814,0.744,0.513,0.53,0.458,0.33,0.652,4.9,0.692,0.376,0.971,0.00733,0.883,0.694,4.42,4.64,4.24,4.49,3.66,4.5,0.82,0.95,0.38,10002.0,0.162,0.381,0.53,0.13,0.381,0.7609999999999999,0.34,0.984,0.625,0.371,1,Manhattan,0.225,3.05,0.0,0.0,0.0,0.0,High,0.028587456851912472,0.1115413747329073,0.028587456851912472,6.1862086239004945,1.8245492920510458,10.677361821912017
2,01M450,east side community school,0.458,0.542,0.0,0.013,0.29,0.638,0.445,0.4,0.129,0.476,0.044,0.65,22.1,0.8,0.19,0.952,0.0080799999999999,1.0,0.705,4.44,4.59,4.3,4.38,4.11,4.42,0.83,0.85,0.54,10009.0,0.07,0.623,0.346,0.14,0.243,0.853,0.18,0.9765,0.684,0.283,1,Manhattan,0.37,3.01,0.0,0.0,1.0,1.0,High,0.0,0.12575120530556025,0.002995508979798371,5.966146739123692,0.7884573603642703,11.33074389837719
3,01M539,"new explorations into science, technology and math high school",0.508,0.492,0.0,0.005,0.185,0.429,0.356,0.649,0.727,0.529,0.0,0.894,3.2,0.876,0.185,0.953,0.00912,0.995,0.707,3.96,3.69,4.28,4.2,4.2,4.16,0.75,0.75,0.41,10002.0,0.162,0.381,0.53,0.13,0.381,0.7609999999999999,0.34,0.9935,0.249,0.7050000000000001,1,Manhattan,0.834,3.755,0.0,0.0,0.0,1.0,High,0.006975613736425138,0.015873349156290163,0.004987541511038968,6.431331081933479,1.589235205116581,10.677361821912017
4,01M696,bard high school early college,0.577,0.423,0.0,0.005,0.147,0.482,0.388,0.512,0.0,0.494,0.529,0.982,0.2,0.861,0.257,0.953,0.0083299999999999,1.0,0.886,4.46,2.82,3.96,3.77,3.77,3.92,0.77,0.43,0.39,10002.0,0.162,0.381,0.53,0.13,0.381,0.7609999999999999,0.34,0.987,0.391,0.57,1,Manhattan,0.762,3.84,0.0,0.0,0.0,1.0,High,0.0,0.04305948946044701,0.003992021269537457,6.338594078203183,1.791759469228055,10.677361821912017
5,02M047,47 the american sign language and english secondary school,0.613,0.387,0.0,0.04,0.266,0.83,0.759,0.686,0.452,0.347,0.0,0.603,15.2,0.486,0.623,0.972,0.0072099999999999,0.968,0.645,3.88,4.02,3.69,2.74,4.33,3.33,0.9,0.47,0.14,10010.0,0.01,0.804,0.233,0.066,0.214,0.934,0.059,0.9595,0.94,0.055,2,Manhattan,0.048,2.66,0.0,0.0,0.0,0.0,Medium,0.0,0.13190507087993858,0.014888612493750559,5.298317366548036,1.9878743481543453,11.920315386103356
6,02M135,the urban assembly school for emergency management,0.633,0.367,0.0,0.063,0.22,0.836,0.773,0.48,0.22,0.187,0.197,0.377,2.1,0.64,0.536,0.974,0.0070599999999999,0.46,0.455,3.72,3.06,3.28,2.82,3.21,2.98,0.89,0.85,0.31,10038.0,0.099,0.608,0.376,0.09,0.265,0.872,0.176,0.9435,0.91,0.081,2,Manhattan,0.06,2.69,0.0,0.0,0.0,0.0,Medium,0.03198304585305074,0.1310282624064042,0.045928931888399735,5.707110264748875,2.091864061678393,11.509339041434808
7,02M139,stephen t. mather building arts & craftsmanship high school,0.47,0.527,0.003,0.049,0.28,0.855,0.788,0.543,0.236,0.304,0.0,0.478,2.5,0.714,0.577,0.967,0.00623,0.883,0.333,3.56,4.25,3.99,4.65,3.7,4.07,0.76,1.0,0.33,10019.0,0.016,0.768,0.335,0.131,0.331,0.906,0.095,0.86,0.927,0.07,2,Manhattan,0.033,2.5650000000000004,0.0,0.0,0.0,0.0,Low,0.10885440491208206,0.11778303565638346,0.050693114315518165,5.910796644040528,1.8870696490323797,11.638112137059187
8,02M260,the clinton school,0.653,0.347,0.0,0.008,0.177,0.227,0.163,0.643,0.0,0.252,0.0,0.744,12.1,0.893,0.297,0.961,0.00871,0.908,0.782,4.22,2.94,3.98,3.37,2.48,2.96,0.52,0.62,0.39,10003.0,0.027,0.82,0.2189999999999999,0.067,0.193,0.94,0.036,0.996,0.1629999999999999,0.69,2,Manhattan,0.7,3.765,0.0,1.0,0.0,0.0,High,0.0,0.01980262729617973,0.001998002662673058,6.22455842927536,1.0647107369924282,11.93730391618969
9,02M280,manhattan early college school for advertising,0.543,0.457,0.0,0.038,0.191,0.831,0.755,0.579,0.224,0.416,0.492,0.658,5.2,0.711,0.495,0.969,0.00745,0.835,0.643,3.26,3.42,3.5770989010989007,2.82,3.442935982339956,3.45,0.06,0.45,0.13,10038.0,0.099,0.608,0.376,0.09,0.265,0.872,0.176,0.959,0.8240000000000001,0.158,2,Manhattan,0.175,2.88,0.0,0.0,0.0,0.0,Medium,0.017839918128331016,0.126632650933366,0.035367143837291344,5.973809611869261,2.054123733695546,11.509339041434808
