,Percent No High School (25+),Percent Bachelor's Degree or Higher (25+),Percent Language Other Than English at Home,Percent Population with Disabilities,Percent Foreign-Born Population,Percent Households with Broadband Internet,Median Household Income,Percent Households on SNAP/Food Stamps,zip code tabulation area
0,,,,,,,17526,57.9,00601
1,,,,,,,20260,57.0,00602
2,,,,,,,17703,53.3,00603
3,,,,,,,19603,58.5,00606
4,,,,,,,22796,55.4,00610
5,,,,,,,22525,52.4,00611
6,,,,,,,22305,52.4,00612
7,,,,,,,23652,51.5,00616
8,,,,,,,20328,56.2,00617
9,,,,,,,22818,44.0,00622
10,,,,,,,23132,44.3,00623
11,,,,,,,20101,58.1,00624
12,,,,,,,23263,55.6,00627
13,,,,,,,15658,70.4,00631
14,,,,,,,-666666666,84.4,00636
15,,,,,,,20568,42.4,00637
16,,,,,,,19796,67.1,00638
17,,,,,,,17673,56.2,00641
18,,,,,,,31330,36.1,00646
19,,,,,,,17143,61.0,00647
20,,,,,,,20363,64.8,00650
21,,,,,,,26148,51.3,00652
22,,,,,,,13777,59.5,00653
23,,,,,,,21456,56.1,00656
24,,,,,,,23899,53.5,00659
25,,,,,,,22556,47.8,00660
26,,,,,,,20283,47.8,00662
27,,,,,,,17966,63.4,00664
28,,,,,,,16889,54.1,00667
29,,,,,,,18838,67.1,00669
30,,,,,,,16644,55.3,00670
31,,,,,,,20088,43.9,00674
32,,,,,,,20160,55.7,00676
33,,,,,,,26404,46.1,00677
34,,,,,,,19558,55.5,00678
35,,,,,,,16535,52.7,00680
36,,,,,,,17385,51.1,00682
37,,,,,,,18132,52.5,00683
38,,,,,,,17481,58.4,00685
39,,,,,,,22282,59.8,00687
40,,,,,,,17273,59.2,00688
41,,,,,,,23343,32.3,00690
42,,,,,,,25289,46.2,00692
43,,,,,,,23791,43.0,00693
44,,,,,,,-666666666,50.0,00694
45,,,,,,,19818,47.7,00698
46,,,,,,,23045,56.2,00703
47,,,,,,,19845,47.4,00704
48,,,,,,,22679,48.8,00705
49,,,,,,,21765,53.3,00707
50,,,,,,,18496,61.0,00714
51,,,,,,,16250,67.3,00715
52,,,,,,,20184,50.9,00716
53,,,,,,,14164,58.2,00717
54,,,,,,,20414,53.9,00718
55,,,,,,,20533,55.0,00719
56,,,,,,,16751,62.8,00720
57,,,,,,,20967,56.8,00723
58,,,,,,,25786,44.8,00725
59,,,,,,,33678,35.1,00727
60,,,,,,,21239,54.3,00728
61,,,,,,,26978,50.9,00729
62,,,,,,,17517,53.2,00730
63,,,,,,,16944,61.4,00731
64,,,,,,,23125,49.3,00735
65,,,,,,,27158,43.1,00736
66,,,,,,,24643,44.7,00738
67,,,,,,,24887,48.4,00739
68,,,,,,,18784,59.1,00740
69,,,,,,,23821,37.7,00741
70,,,,,,,26189,47.7,00745
71,,,,,,,20241,55.4,00751
72,,,,,,,19528,54.7,00754
73,,,,,,,22764,50.5,00757
74,,,,,,,17062,48.5,00765
75,,,,,,,22511,62.5,00766
76,,,,,,,20126,61.1,00767
77,,,,,,,20236,54.7,00769
78,,,,,,,23343,55.2,00771
79,,,,,,,17209,61.3,00772
80,,,,,,,22585,54.0,00773
81,,,,,,,25483,32.9,00775
82,,,,,,,26052,50.4,00777
83,,,,,,,39484,35.7,00778
84,,,,,,,26075,44.3,00780
85,,,,,,,16221,62.7,00782
86,,,,,,,21701,59.6,00783
87,,,,,,,19199,56.1,00784
88,,,,,,,-666666666,29.1,00786
89,,,,,,,26002,43.8,00791
90,,,,,,,21278,56.8,00794
91,,,,,,,22579,56.3,00795
92,,,,,,,27926,24.7,00901
93,,,,,,,-666666666,0.0,00906
94,,,,,,,40293,14.3,00907
95,,,,,,,25778,35.0,00909
96,,,,,,,38125,14.1,00911
97,,,,,,,27026,21.6,00912
98,,,,,,,6449,68.7,00913
99,,,,,,,12963,52.6,00915
100,,,,,,,17086,39.7,00917
101,,,,,,,35000,24.7,00918
102,,,,,,,28562,32.1,00920
103,,,,,,,21419,42.3,00921
104,,,,,,,18389,49.8,00923
105,,,,,,,21046,45.6,00924
106,,,,,,,13016,37.1,00925
107,,,,,,,38432,26.1,00926
108,,,,,,,40213,17.4,00927
109,,,,,,,-666666666,0.0,00934
110,,,,,,,31500,34.4,00949
111,,,,,,,-666666666,-666666666.0,00950
112,,,,,,,21354,62.6,00951
113,,,,,,,19392,56.9,00952
114,,,,,,,32957,31.0,00953
115,,,,,,,27243,37.0,00956
116,,,,,,,28240,38.3,00957
117,,,,,,,31603,32.8,00959
118,,,,,,,-666666666,-666666666.0,00960
119,,,,,,,34141,30.3,00961
120,,,,,,,18478,52.5,00962
121,,,,,,,15872,53.6,00965
122,,,,,,,51732,16.0,00966
123,,,,,,,55132,8.9,00968
124,,,,,,,55929,18.4,00969
125,,,,,,,31484,37.4,00971
126,,,,,,,35661,33.1,00976
127,,,,,,,34705,17.3,00979
128,,,,,,,24244,38.4,00982
129,,,,,,,30595,35.0,00983
130,,,,,,,33270,39.1,00985
131,,,,,,,36396,33.6,00987
132,2.0,35.4,15.8,13.8,9.7,87.3,73398,9.0,01001
